"grid_x","grid_y","avg_vx","avg_vy","grid_id","final_grid","num_hops","status","result"
63,10,-0.833674864335494,2.38989348845048,"63,10","58,44",9,"Success","58,44, 9, Success"
63,11,-0.639085726304488,3.37034472552213,"63,11","58,44",10,"Success","58,44, 10, Success"
63,12,-1.38139038615757,3.94065819846259,"63,12","58,44",10,"Success","58,44, 10, Success"
63,13,-1.07759145100911,3.03717562357585,"63,13","53,45",11,"Success","53,45, 11, Success"
63,14,-0.835098711649577,2.47640933990479,"63,14","53,45",11,"Success","53,45, 11, Success"
63,15,-0.270418908860948,2.15500561396281,"63,15","58,44",10,"Success","58,44, 10, Success"
63,16,-1.28951183954875,2.4082631667455,"63,16","58,44",11,"Success","58,44, 11, Success"
63,17,-0.494592161739574,0.734267290900735,"63,17","58,44",10,"Success","58,44, 10, Success"
63,18,-0.107483307520549,2.54077116648356,"63,18","54,45",12,"Success","54,45, 12, Success"
63,19,0.175396177503798,4.40220885806614,"63,19","54,45",11,"Success","54,45, 11, Success"
63,20,0.170173327128092,2.34314325120714,"63,20","58,44",11,"Success","58,44, 11, Success"
63,21,-0.807607923235212,2.76815237317766,"63,21","61,27",2,"Success","61,27, 2, Success"
63,22,-0.235811392466227,4.1750316619873,"63,22","54,45",10,"Success","54,45, 10, Success"
63,23,-0.50674311319987,3.51518662770589,"63,23","54,45",11,"Success","54,45, 11, Success"
63,24,-0.107143211364746,1.57144165039062,"63,24","54,45",13,"Success","54,45, 13, Success"
63,25,-1.29412719181606,1.32185227530343,"63,25","58,44",10,"Success","58,44, 10, Success"
63,26,-0.0195827484130859,1.72880876981295,"63,26","54,45",12,"Success","54,45, 12, Success"
63,27,-0.240225519452776,0.760075841631208,"63,27","54,45",12,"Success","54,45, 12, Success"
63,28,0.0967652279397716,1.05127645575482,"63,28","54,45",10,"Success","54,45, 10, Success"
63,29,0.0797023444340147,1.4091761358853,"63,29","54,45",11,"Success","54,45, 11, Success"
63,30,-0.248235853094804,2.12851288444118,"63,30","54,45",9,"Success","54,45, 9, Success"
63,31,-0.704159393310547,1.16998237609863,"63,31","58,44",8,"Success","58,44, 8, Success"
63,32,-0.230989456176758,0.523382186889648,"63,32","54,45",10,"Success","54,45, 10, Success"
63,33,-0.184870503165505,0.566762404008345,"63,33","54,45",9,"Success","54,45, 9, Success"
63,34,-0.198175773620605,0.768121681213379,"63,34","54,45",8,"Success","54,45, 8, Success"
63,35,-0.330940376628529,0.859445918690075,"63,35","58,44",6,"Success","58,44, 6, Success"
63,36,0.268136287557668,0.594085594703411,"63,36","54,45",7,"Success","54,45, 7, Success"
63,37,0.248567962646484,0.576445121765137,"63,37","58,44",5,"Success","58,44, 5, Success"
63,38,-0.325609062657212,1.62360812678482,"63,38","58,44",4,"Success","58,44, 4, Success"
63,39,-1.51142038148025,1.95121021928458,"63,39","58,44",3,"Success","58,44, 3, Success"
63,40,-1.78038103684135,1.53605560634447,"63,40","54,45",5,"Success","54,45, 5, Success"
63,41,-1.57367961747306,1.19020438194275,"63,41","58,44",3,"Success","58,44, 3, Success"
63,42,-0.956095218658447,1.74406269618443,"63,42","62,51",6,"Success","62,51, 6, Success"
63,43,-0.603193057210822,1.29358095871775,"63,43","62,51",5,"Success","62,51, 5, Success"
63,44,-0.445394849777222,0.595157027244568,"63,44","55,47",13,"Success","55,47, 13, Success"
63,45,-0.207054965636309,1.16585215400247,"63,45","54,51",14,"Success","54,51, 14, Success"
63,46,-0.165215977167679,0.643540075269796,"63,46","54,51",14,"Success","54,51, 14, Success"
63,47,0.0646850570799812,0.496626808529808,"63,47","54,51",13,"Success","54,51, 13, Success"
63,48,0.475283164978027,0.770802421569824,"63,48","54,51",12,"Success","54,51, 12, Success"
63,49,0.626905555725098,0.687888298034668,"63,49","54,51",12,"Success","54,51, 12, Success"
63,50,-0.413872877756755,0.200891403924851,"63,50","62,51",3,"Success","62,51, 3, Success"
63,51,-0.439544363021851,0.516572036743164,"63,51","54,51",9,"Success","54,51, 9, Success"
63,52,-0.916439805712019,-0.0815508161272321,"63,52","53,45",11,"Success","53,45, 11, Success"
63,53,-0.516417804517244,0.114357095015676,"63,53","54,51",8,"Success","54,51, 8, Success"
63,54,-0.538539242100071,-1.13490076322813,"63,54","54,51",9,"Success","54,51, 9, Success"
63,55,-0.794556454608315,-0.130796934428968,"63,55","53,45",12,"Success","53,45, 12, Success"
63,56,-0.858768923529263,-0.541884323646282,"63,56","53,45",12,"Success","53,45, 12, Success"
63,57,-0.469776082921911,-0.707606668825503,"63,57","53,45",13,"Success","53,45, 13, Success"
63,58,-0.721889845530192,-0.780949338277181,"63,58","53,45",13,"Success","53,45, 13, Success"
63,59,-1.28122501713889,-1.04936783654349,"63,59","53,45",10,"Success","53,45, 10, Success"
63,60,-0.558678564818009,-0.84480443208114,"63,60","53,45",13,"Success","53,45, 13, Success"
63,61,-1.00972553491592,-1.07171902656555,"63,61","53,45",11,"Success","53,45, 11, Success"
63,62,-1.15218260211329,-2.31286218089442,"63,62","53,45",11,"Success","53,45, 11, Success"
63,63,-1.18704109578519,-2.12670175449268,"63,63","53,45",11,"Success","53,45, 11, Success"
63,64,-1.19708472001748,-1.97054603451588,"63,64","53,45",11,"Success","53,45, 11, Success"
63,65,-1.19502362989842,-2.13286194765478,"63,65","53,45",12,"Success","53,45, 12, Success"
63,66,-1.04461624373251,-1.8677160917823,"63,66","53,45",13,"Success","53,45, 13, Success"
63,67,-1.11847306552686,-1.92716568394711,"63,67","53,45",14,"Success","53,45, 14, Success"
63,68,-0.563637097676595,-2.66122341156006,"63,68","53,45",12,"Success","53,45, 12, Success"
63,69,0.37984003339495,-3.68565899985177,"63,69","53,45",15,"Success","53,45, 15, Success"
63,70,-1.09358806610107,-0.828957748413086,"63,70","54,57",6,"Success","54,57, 6, Success"
63,71,-0.0918722152709961,-0.822755098342896,"63,71","53,45",16,"Success","53,45, 16, Success"
63,72,1.56602197885513,-1.66669142246246,"63,72","53,45",15,"Success","53,45, 15, Success"
63,73,-0.228353351354599,-2.16415876150131,"63,73","53,45",16,"Success","53,45, 16, Success"
63,74,-0.738427505493164,-1.76650810241699,"63,74","54,57",6,"Success","54,57, 6, Success"
63,75,1.12019609521936,-0.941025062843605,"63,75","53,45",17,"Success","53,45, 17, Success"
63,76,0.981298548834664,-0.140902246747698,"63,76","53,45",21,"Success","53,45, 21, Success"
63,77,0.585912640889486,0.27208251953125,"63,77","53,45",21,"Success","53,45, 21, Success"
63,78,0.568931155734592,-0.798637036924009,"63,78","53,45",18,"Success","53,45, 18, Success"
63,79,1.46736667030736,-0.552737085442794,"63,79",NA,3,"Failure","NA, 3, Failure"
63,80,1.88051711188422,-1.82610342237684,"63,80","53,45",16,"Success","53,45, 16, Success"
63,81,-0.318361282348633,-1.04864374796549,"63,81","53,45",19,"Success","53,45, 19, Success"
63,84,0.0448808670043945,-0.653839111328125,"63,84",NA,2,"Failure","NA, 2, Failure"
64,3,0.807603518168131,3.33273220062256,"64,3","54,45",16,"Success","54,45, 16, Success"
64,4,-1.04608368051463,3.72641711399473,"64,4","58,44",11,"Success","58,44, 11, Success"
64,5,-0.895996295081245,3.32265781826443,"64,5","58,44",11,"Success","58,44, 11, Success"
64,6,-1.3591328590147,4.21670153833205,"64,6","53,45",10,"Success","53,45, 10, Success"
64,7,-0.870700160662333,3.43597207466761,"64,7","61,27",6,"Success","61,27, 6, Success"
64,8,-0.462548732757568,2.82597346739335,"64,8","53,45",12,"Success","53,45, 12, Success"
64,9,-0.7532494171806,2.86412840304167,"64,9","58,44",12,"Success","58,44, 12, Success"
64,10,-0.848692160386306,2.49842585050143,"64,10","58,44",12,"Success","58,44, 12, Success"
64,11,-1.15392895748741,2.53538824382581,"64,11","54,45",13,"Success","54,45, 13, Success"
64,12,-1.43182097540961,4.00121037165324,"64,12","53,45",11,"Success","53,45, 11, Success"
64,13,-1.52642843458388,3.79615375730726,"64,13","61,27",4,"Success","61,27, 4, Success"
64,14,-0.492889821529388,2.60001963376999,"64,14","54,45",12,"Success","54,45, 12, Success"
64,15,-0.768392244974772,2.57672444511862,"64,15","54,45",15,"Success","54,45, 15, Success"
64,16,-0.839312811155577,2.16957182497592,"64,16","54,45",15,"Success","54,45, 15, Success"
64,17,-0.627752780914307,1.78992974758148,"64,17","61,27",3,"Success","61,27, 3, Success"
64,18,-0.623351812362671,2.89912939071655,"64,18","54,45",14,"Success","54,45, 14, Success"
64,19,0.783226013183594,3.68409442901611,"64,19","58,44",10,"Success","58,44, 10, Success"
64,20,-1.90560054779053,3.72389125823975,"64,20","60,27",2,"Success","60,27, 2, Success"
64,21,-0.916328509648641,1.81032339731852,"64,21","54,45",13,"Success","54,45, 13, Success"
64,22,-0.33674430847168,0.63331356048584,"64,22","54,45",12,"Success","54,45, 12, Success"
64,23,0.566865158081055,1.57940444946289,"64,23","54,45",11,"Success","54,45, 11, Success"
64,24,0.717044830322266,3.61151504516602,"64,24","54,45",11,"Success","54,45, 11, Success"
64,25,-1.72180414199829,3.44853369394938,"64,25","58,44",8,"Success","58,44, 8, Success"
64,26,0.308125055753268,1.21246785383958,"64,26","54,45",11,"Success","54,45, 11, Success"
64,27,-0.27740468476948,1.75833059612073,"64,27","58,44",9,"Success","58,44, 9, Success"
64,28,-0.205319828457303,1.25278557671441,"64,28","54,45",10,"Success","54,45, 10, Success"
64,29,0.218378067016602,2.23690324671128,"64,29","54,45",9,"Success","54,45, 9, Success"
64,30,0.0640811920166016,1.61277213463416,"64,30","54,45",9,"Success","54,45, 9, Success"
64,31,0.0352573394775391,0.828307151794434,"64,31","54,45",9,"Success","54,45, 9, Success"
64,32,-0.00890490214029948,0.900777180989583,"64,32","54,45",9,"Success","54,45, 9, Success"
64,33,-0.00812942331487482,1.24365243044767,"64,33","54,45",8,"Success","54,45, 8, Success"
64,34,-0.317316398024559,0.977016150951385,"64,34","54,45",8,"Success","54,45, 8, Success"
64,35,-0.233344827379499,0.850288867950439,"64,35","54,45",7,"Success","54,45, 7, Success"
64,36,0.104321510561051,0.754750959334835,"64,36","58,44",5,"Success","58,44, 5, Success"
64,37,-0.721764251589775,1.72124356031418,"64,37","54,45",6,"Success","54,45, 6, Success"
64,38,-0.604557100931803,0.568187300364176,"64,38","58,44",4,"Success","58,44, 4, Success"
64,39,-1.76402717166477,1.66743529284442,"64,39","58,44",4,"Success","58,44, 4, Success"
64,40,-1.6840132077535,0.878416760762533,"64,40","58,44",5,"Success","58,44, 5, Success"
64,41,-1.70036065136945,1.06143400404188,"64,41","62,51",6,"Success","62,51, 6, Success"
64,42,-1.84753491537912,1.24037140437535,"64,42","58,44",4,"Success","58,44, 4, Success"
64,43,-0.816531419754028,0.989341311984592,"64,43","55,47",13,"Success","55,47, 13, Success"
64,44,-1.06183669964472,0.685686488946279,"64,44","55,47",13,"Success","55,47, 13, Success"
64,45,-0.941307703653971,0.589553038279215,"64,45","62,51",5,"Success","62,51, 5, Success"
64,46,0.584296564902029,0.748305966777186,"64,46","66,52",6,"Success","66,52, 6, Success"
64,47,-0.0989845838302221,1.08310141930213,"64,47","54,51",12,"Success","54,51, 12, Success"
64,48,0.266990016056941,0.515024229196402,"64,48","54,51",10,"Success","54,51, 10, Success"
64,49,-0.223659908960736,0.770842809525747,"64,49","54,51",11,"Success","54,51, 11, Success"
64,50,-0.106117067665889,0.747306412663953,"64,50","54,51",11,"Success","54,51, 11, Success"
64,51,-0.657241712297712,-0.00973573412214007,"64,51","54,51",10,"Success","54,51, 10, Success"
64,52,-1.67695525596882,0.311433200178475,"64,52","54,51",7,"Success","54,51, 7, Success"
64,53,-1.46841520216407,0.328340018667826,"64,53","53,45",12,"Success","53,45, 12, Success"
64,54,-1.13854051519323,-0.703110341672544,"64,54","54,51",8,"Success","54,51, 8, Success"
64,55,-1.17258392847501,-0.439603952261118,"64,55","54,51",8,"Success","54,51, 8, Success"
64,56,-0.879863308322045,-0.635828387352728,"64,56","54,51",8,"Success","54,51, 8, Success"
64,57,0.0650970077514648,-0.558340530395508,"64,57","54,51",9,"Success","54,51, 9, Success"
64,58,-1.16704845428467,-0.415636814001835,"64,58","53,45",13,"Success","53,45, 13, Success"
64,59,-0.618074581540864,-0.454339586455247,"64,59","53,45",14,"Success","53,45, 14, Success"
64,60,-1.00546335351878,-1.31963927170326,"64,60","53,45",13,"Success","53,45, 13, Success"
64,61,-1.2633327772451,-1.44977021771808,"64,61","53,45",12,"Success","53,45, 12, Success"
64,62,-0.278958755990733,-1.20248338450556,"64,62","53,45",14,"Success","53,45, 14, Success"
64,63,-1.1814219156901,-1.71798595428467,"64,63","53,45",12,"Success","53,45, 12, Success"
64,64,-1.18370214643933,-1.94726081121536,"64,64","53,45",12,"Success","53,45, 12, Success"
64,65,-1.24074001558896,-2.00617309274345,"64,65","53,45",11,"Success","53,45, 11, Success"
64,66,-1.46095796358787,-2.38228272583525,"64,66","53,45",12,"Success","53,45, 12, Success"
64,67,-0.523326271458676,-1.09539082175807,"64,67","53,45",13,"Success","53,45, 13, Success"
64,68,0.59241877661811,-1.78941853841146,"64,68","53,45",13,"Success","53,45, 13, Success"
64,69,-0.397085380554199,-0.798342514038086,"64,69","53,45",15,"Success","53,45, 15, Success"
64,70,-0.692569308810764,-1.01073286268446,"64,70","53,45",13,"Success","53,45, 13, Success"
64,71,0.0725357873099191,-0.461455753871373,"64,71","53,45",14,"Success","53,45, 14, Success"
64,72,0.561401230948312,-1.99225725446429,"64,72","53,45",16,"Success","53,45, 16, Success"
64,73,1.2762534068181,-1.1091801570012,"64,73","53,45",15,"Success","53,45, 15, Success"
64,74,-0.225535750389099,-1.29072272777557,"64,74","53,45",15,"Success","53,45, 15, Success"
64,75,0.851887150814659,-1.57663134524697,"64,75","53,45",16,"Success","53,45, 16, Success"
64,76,0.51607064277895,-0.442501929498488,"64,76","53,45",17,"Success","53,45, 17, Success"
64,77,0.583179452202537,-0.502880443226207,"64,77","53,45",21,"Success","53,45, 21, Success"
64,78,1.09916966049759,-0.604033010977286,"64,78","53,45",20,"Success","53,45, 20, Success"
64,79,0.471278782548576,-0.460189293170797,"64,79","53,45",16,"Success","53,45, 16, Success"
